,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,5 4 +1,6 2 +4,5 5 +0,6 5 +1,3 3 +0
Verno MIBR,5 5 +0,4 5 -1,7 1 +6,3 5 -2,3 3 +0
xenom MIBR,2 3 -1,5 3 +2,2 5 -3,4 4 +0,3 5 -2
artzin MIBR,2 5 -3,4 3 +1,4 6 -2,3 3 +0,4 4 +0
cortezia MIBR,2 3 -1,0 5 -5,0 5 -5,5 3 +2,8 3 +5
