,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,6 4 +2,5 1 +4,4 1 +3,4 1 +3,4 1 +3
Verno MIBR,1 2 -1,1 1 +0,5 4 +1,3 1 +2,3 1 +2
xenom MIBR,,2 1 +1,2 0 +2,1 3 -2,1 2 -1
artzin MIBR,5 1 +4,3 1 +2,3 4 -1,2 3 -1,3 1 +2
cortezia MIBR,3 1 +2,3 0 +3,1 2 -1,4 1 +3,4 1 +3
