,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,,1 0 +1,0 1 -1,1 0 +1,1 3 -2
Verno MIBR,1 0 +1,1 1 +0,1 0 +1,,2 1 +1
xenom MIBR,,,,,
artzin MIBR,,2 0 +2,1 0 +1,1 1 +0,0 3 -3
cortezia MIBR,1 0 +1,0 1 -1,0 1 -1,1 0 +1,4 0 +4
