,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,5 0 +5,3 0 +3,5 0 +5,1 0 +1,2 2 +0
Verno MIBR,,,,,0 2 -2
xenom MIBR,,,0 1 -1,,0 5 -5
artzin MIBR,,,,,0 1 -1
cortezia MIBR,1 0 +1,,,,0 4 -4
