,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,1 0 +1,1 0 +1,,,0 2 -2
Verno MIBR,,,,,0 2 -2
xenom MIBR,,,,,0 4 -4
artzin MIBR,,,,,0 1 -1
cortezia MIBR,,,,,0 2 -2
