,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,,1 0 +1,1 0 +1,1 0 +1,1 0 +1
Elite KC,,,,,
SUYGETSU KC,,,,,1 0 +1
Avez KC,,,,,
saadhak KC,,,0 1 -1,,
