,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,3 0 +3,,0 1 -1,4 2 +2,1 0 +1
Elite KC,0 1 -1,0 1 -1,,,
SUYGETSU KC,,1 0 +1,1 1 +0,0 1 -1,1 0 +1
Avez KC,1 0 +1,0 1 -1,,,0 1 -1
saadhak KC,,0 2 -2,,,
