,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,0 1 -1,0 1 -1,,0 1 -1,0 2 -2
Elite KC,0 1 -1,2 0 +2,0 1 -1,,
SUYGETSU KC,0 1 -1,2 1 +1,1 1 +0,,
Avez KC,,,0 1 -1,0 1 -1,
saadhak KC,1 0 +1,,1 0 +1,,0 2 -2
