,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,4 2 +2,0 4 -4,3 3 +0,2 5 -3,2 4 -2
Elite KC,1 2 -1,5 3 +2,1 5 -4,1 2 -1,2 1 +1
SUYGETSU KC,4 2 +2,5 1 +4,2 2 +0,4 5 -1,1 3 -2
Avez KC,1 2 -1,0 2 -2,3 3 +0,3 5 -2,2 4 -2
saadhak KC,4 3 +1,3 0 +3,4 0 +4,2 5 -3,3 8 -5
