,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,3 2 +1,1 2 -1,3 5 -2,5 3 +2,2 3 -1
Elite KC,0 2 -2,2 1 +1,1 3 -2,0 1 -1,1 0 +1
SUYGETSU KC,0 2 -2,3 1 +2,2 4 -2,0 1 -1,1 0 +1
Avez KC,1 0 +1,0 1 -1,0 1 -1,0 1 -1,1 1 +0
saadhak KC,1 0 +1,0 2 -2,1 1 +0,2 1 +1,0 2 -2
