,westside GX,tomaszy GX,purp0 GX,Cloud GX,runneR GX
marteen KC,,1 0 +1,1 0 +1,1 0 +1,2 0 +2
Elite KC,,,0 1 -1,,
SUYGETSU KC,,,,,1 0 +1
Avez KC,,,0 2 -2,,
saadhak KC,,,0 2 -2,,
