,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
xeus FUT,6 4 +2,2 2 +0,4 1 +3,0 5 -5,4 6 -2
yetujey FUT,2 6 -4,3 4 -1,1 3 -2,2 1 +1,1 4 -3
qRaxs FUT,2 5 -3,1 2 -1,2 5 -3,4 2 +2,2 2 +0
MrFaliN FUT,2 6 -4,4 1 +3,7 3 +4,2 3 -1,3 6 -3
cNed FUT,4 3 +1,6 4 +2,1 4 -3,6 2 +4,4 3 +1
