,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
xeus FUT,2 1 +1,0 1 -1,2 0 +2,0 1 -1,0 1 -1
yetujey FUT,1 0 +1,1 1 +0,0 2 -2,,
qRaxs FUT,0 1 -1,,,,
MrFaliN FUT,0 1 -1,,,1 0 +1,1 1 +0
cNed FUT,2 1 +1,,0 1 -1,1 0 +1,1 0 +1
