,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
xeus FUT,9 5 +4,6 5 +1,7 7 +0,2 9 -7,9 10 -1
yetujey FUT,7 10 -3,7 8 -1,3 6 -3,6 4 +2,5 5 +0
qRaxs FUT,4 9 -5,1 5 -4,6 8 -2,7 5 +2,4 5 -1
MrFaliN FUT,4 9 -5,8 4 +4,9 6 +3,4 6 -2,7 11 -4
cNed FUT,7 5 +2,7 9 -2,1 9 -8,8 7 +1,6 5 +1
