,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
xeus FUT,3 2 +1,0 3 -3,3 0 +3,1 2 -1,0 2 -2
yetujey FUT,2 2 +0,1 1 +0,0 4 -4,1 0 +1,
qRaxs FUT,0 2 -2,,0 1 -1,,
MrFaliN FUT,0 1 -1,,,1 0 +1,2 2 +0
cNed FUT,2 1 +1,,0 2 -2,2 1 +1,1 1 +0
