,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cNed FUT,,2 Round 3 MAGNUM sociablEE Round 13 LewN sociablEE,,,,,,,,,27,1,0
qRaxs FUT,,2 Round 9 LewN Jamppi Round 10 sociablEE PROFEK,1 Round 21 sociablEE Jamppi LewN,,,,1 Round 10 sociablEE PROFEK,,,,52,2,1
MrFaliN FUT,,2 Round 12 LewN sociablEE Round 17 MAGNUM PROFEK,1 Round 7 MAGNUM Jamppi sociablEE,1 Round 18 LewN Jamppi MAGNUM sociablEE,,1 Round 17 PROFEK,,,,,50,2,0
yetujey FUT,,4 Round 8 LewN MAGNUM Round 15 sociablEE MAGNUM Round 16 LewN PROFEK Round 17 sociablEE LewN,,2 Round 5 sociablEE Jamppi PROFEK MAGNUM Round 19 LewN PROFEK MAGNUM Jamppi,,1 Round 21 MAGNUM,1 Round 15 sociablEE MAGNUM,,,,70,1,0
xeus FUT,,6 Round 3 PROFEK Jamppi Round 6 LewN MAGNUM Round 10 Jamppi LewN Round 16 sociablEE MAGNUM Round 20 sociablEE MAGNUM Round 22 sociablEE MAGNUM,1 Round 8 Jamppi sociablEE PROFEK,,,,,,,,44,0,0
MAGNUM BBL,,6 Round 4 xeus MrFaliN Round 5 cNed qRaxs Round 6 MrFaliN yetujey Round 15 xeus cNed Round 16 cNed yetujey Round 21 cNed qRaxs,,,,,,,,,61,1,1
PROFEK BBL,,1 Round 10 MrFaliN xeus,1 Round 9 cNed qRaxs MrFaliN,1 Round 17 cNed xeus yetujey qRaxs,,,,,,,46,0,0
sociablEE BBL,,5 Round 1 xeus qRaxs Round 6 cNed xeus Round 11 qRaxs xeus Round 14 qRaxs cNed Round 21 xeus MrFaliN,,,,,,,,,47,0,0
Jamppi BBL,,3 Round 4 cNed yetujey Round 16 xeus MrFaliN Round 22 xeus cNed,2 Round 12 qRaxs MrFaliN xeus Round 20 cNed xeus qRaxs,1 Round 13 yetujey cNed xeus qRaxs,,,1 Round 16 MrFaliN xeus,,,,85,6,0
LewN BBL,,1 Round 5 MrFaliN yetujey,,1 Round 2 xeus MrFaliN qRaxs yetujey,,1 Round 5 yetujey,,,,,43,0,1
