,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
xeus FUT,3 1 +2,4 3 +1,3 6 -3,2 4 -2,5 4 +1
yetujey FUT,5 4 +1,4 4 +0,2 3 -1,4 3 +1,4 1 +3
qRaxs FUT,2 4 -2,0 3 -3,4 3 +1,3 3 +0,2 3 -1
MrFaliN FUT,2 3 -1,4 3 +1,2 3 -1,2 3 -1,4 5 -1
cNed FUT,3 2 +1,1 5 -4,0 5 -5,2 5 -3,2 2 +0
