,xand FUR,havoc FUR,mwzera FUR,Khalil FUR,nzr FUR
jawgemo EG,,1 0 +1,1 0 +1,,
Derrek EG,,2 0 +2,2 1 +1,,
Apoth EG,0 1 -1,1 1 +0,,0 1 -1,1 1 +0
supamen EG,2 0 +2,,0 1 -1,,
NaturE EG,,,0 1 -1,1 0 +1,
