,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,,,0 1 -1,1 0 +1,
CHICHOO EDG,,,1 0 +1,,
ZmjjKK EDG,2 0 +2,3 1 +2,1 0 +1,1 1 +0,1 0 +1
nobody EDG,1 0 +1,3 0 +3,,,
Smoggy EDG,,,,,
