,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,,2 1 +1,,,
CHICHOO EDG,0 1 -1,0 1 -1,0 1 -1,0 2 -2,1 0 +1
ZmjjKK EDG,2 0 +2,1 2 -1,2 3 -1,1 2 -1,0 2 -2
nobody EDG,0 1 -1,0 1 -1,0 1 -1,1 0 +1,0 1 -1
Smoggy EDG,,,2 0 +2,1 0 +1,2 0 +2
