,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,2 1 +1,1 2 -1,2 2 +0,3 2 +1,4 2 +2
CHICHOO EDG,2 5 -3,3 0 +3,5 1 +4,5 0 +5,3 2 +1
ZmjjKK EDG,5 2 +3,6 4 +2,2 3 -1,3 2 +1,2 1 +1
nobody EDG,3 3 +0,6 1 +5,3 2 +1,3 0 +3,2 3 -1
Smoggy EDG,2 2 +0,1 1 +0,3 1 +2,2 3 -1,3 2 +1
