,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,5 6 -1,5 4 +1,3 3 +0,0 6 -6,4 5 -1
CHICHOO EDG,5 5 +0,6 2 +4,5 4 +1,10 5 +5,7 6 +1
ZmjjKK EDG,7 4 +3,6 8 -2,6 5 +1,5 3 +2,4 6 -2
nobody EDG,2 6 -4,2 3 -1,2 2 +0,5 4 +1,4 6 -2
Smoggy EDG,2 5 -3,5 9 -4,8 3 +5,6 3 +3,3 3 +0
