,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,8 8 +0,8 11 -3,10 11 -1,4 9 -5,13 8 +5
CHICHOO EDG,10 11 -1,11 5 +6,11 9 +2,18 8 +10,13 9 +4
ZmjjKK EDG,15 8 +7,14 17 -3,11 10 +1,12 9 +3,11 10 +1
nobody EDG,7 14 -7,13 6 +7,10 5 +5,11 7 +4,7 10 -3
Smoggy EDG,9 9 +0,9 14 -5,14 8 +6,12 7 +5,9 7 +2
