,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,0 1 -1,2 1 +1,1 2 -1,1 0 +1,
CHICHOO EDG,2 1 +1,1 1 +0,1 2 -1,0 2 -2,2 0 +2
ZmjjKK EDG,5 0 +5,4 5 -1,4 3 +1,2 4 -2,2 2 +0
nobody EDG,1 2 -1,5 1 +4,0 1 -1,1 0 +1,0 1 -1
Smoggy EDG,1 0 +1,,2 0 +2,3 0 +3,3 0 +3
