,trent G2,jawgemo G2,JonahP G2,leaf G2,valyn G2
S1Mon EDG,1 1 +0,2 5 -3,5 6 -1,1 1 +0,5 1 +4
CHICHOO EDG,3 1 +2,2 3 -1,1 4 -3,3 3 +0,3 1 +2
ZmjjKK EDG,3 2 +1,2 5 -3,3 2 +1,4 4 +0,5 3 +2
nobody EDG,2 5 -3,5 2 +3,5 1 +4,3 3 +0,1 1 +0
Smoggy EDG,5 2 +3,3 4 -1,3 4 -1,4 1 +3,3 2 +1
