,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,,,,1 1 +0,
CHICHOO EDG,0 1 -1,,1 2 -1,2 0 +2,1 0 +1
ZmjjKK EDG,,0 1 -1,1 2 -1,0 2 -2,1 0 +1
S1Mon EDG,,1 0 +1,,0 1 -1,
nobody EDG,0 1 -1,0 1 -1,,0 1 -1,0 2 -2
