,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,,,,0 1 -1,
CHICHOO EDG,0 1 -1,,,,
ZmjjKK EDG,,,,,1 0 +1
S1Mon EDG,0 1 -1,,,0 1 -1,
nobody EDG,,,,0 1 -1,
