,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,,0 1 -1,,2 4 -2,
CHICHOO EDG,0 1 -1,,1 2 -1,4 1 +3,1 0 +1
ZmjjKK EDG,1 0 +1,1 1 +0,3 4 -1,1 4 -3,1 0 +1
S1Mon EDG,,1 0 +1,,0 1 -1,
nobody EDG,0 1 -1,1 1 +0,0 1 -1,2 2 +0,0 2 -2
