,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,6 2 +4,5 0 +5,3 2 +1,6 4 +2,3 2 +1
CHICHOO EDG,2 4 -2,2 2 +0,3 6 -3,7 3 +4,5 1 +4
ZmjjKK EDG,1 1 +0,4 2 +2,6 4 +2,1 4 -3,7 2 +5
S1Mon EDG,1 3 -2,3 1 +2,4 3 +1,2 4 -2,1 3 -2
nobody EDG,1 3 -2,2 4 -2,1 2 -1,2 4 -2,1 4 -3
