,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,,0 1 -1,,1 3 -2,
CHICHOO EDG,,,,2 1 +1,
ZmjjKK EDG,1 0 +1,1 0 +1,2 2 +0,1 2 -1,
S1Mon EDG,,,,,
nobody EDG,,1 0 +1,0 1 -1,2 1 +1,
