,qRaxs FUT,MrFaliN FUT,yetujey FUT,cNed FUT,AtaKaptan FUT
Smoggy EDG,5 2 +3,3 1 +2,6 4 +2,3 4 -1,6 4 +2
CHICHOO EDG,4 2 +2,4 2 +2,1 4 -3,4 3 +1,3 1 +2
ZmjjKK EDG,2 4 -2,3 5 -2,3 5 -2,3 3 +0,3 2 +1
S1Mon EDG,1 4 -3,3 4 -1,0 2 -2,3 3 +0,2 3 -1
nobody EDG,2 3 -1,4 4 +0,5 4 +1,4 1 +3,3 3 +0
