,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,4 1 +3,2 0 +2,1 2 -1,3 1 +2,3 2 +1
Kicks VIT,1 0 +1,4 0 +4,2 0 +2,2 6 -4,4 1 +3
Sayf VIT,4 2 +2,1 2 -1,6 1 +5,2 2 +0,2 1 +1
Derke VIT,1 0 +1,3 2 +1,1 3 -2,1 2 -1,2 4 -2
trexx VIT,3 1 +2,3 1 +2,4 1 +3,5 2 +3,2 1 +1
