,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,,,,,
Kicks VIT,,1 0 +1,,,
Sayf VIT,1 0 +1,,0 1 -1,,
Derke VIT,1 0 +1,1 1 +0,,0 2 -2,2 2 +0
trexx VIT,,,,0 1 -1,
