,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,8 3 +5,6 2 +4,6 4 +2,4 5 -1,3 8 -5
Kicks VIT,3 4 -1,7 3 +4,4 1 +3,4 13 -9,7 2 +5
Sayf VIT,7 4 +3,6 6 +0,11 5 +6,7 5 +2,5 5 +0
Derke VIT,7 3 +4,5 8 -3,4 5 -1,6 4 +2,4 8 -4
trexx VIT,3 2 +1,7 6 +1,8 1 +7,7 5 +2,8 4 +4
