,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,,1 1 +0,,,0 1 -1
Kicks VIT,,1 0 +1,,0 3 -3,1 0 +1
Sayf VIT,1 0 +1,0 2 -2,0 1 -1,,
Derke VIT,5 1 +4,2 3 -1,2 1 +1,0 3 -3,2 2 +0
trexx VIT,,1 1 +0,,0 1 -1,
