,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,4 2 +2,4 2 +2,5 2 +3,1 4 -3,0 6 -6
Kicks VIT,2 4 -2,3 3 +0,2 1 +1,2 7 -5,3 1 +2
Sayf VIT,3 2 +1,5 4 +1,5 4 +1,5 3 +2,3 4 -1
Derke VIT,6 3 +3,2 6 -4,3 2 +1,5 2 +3,2 4 -2
trexx VIT,0 1 -1,4 5 -1,4 0 +4,2 3 -1,6 3 +3
