,Boo TH,MiniBoo TH,benjyfishy TH,RieNs TH,Wo0t TH
Less VIT,,1 1 +0,,,0 1 -1
Kicks VIT,,,,0 3 -3,1 0 +1
Sayf VIT,,0 2 -2,,,
Derke VIT,4 1 +3,1 2 -1,2 1 +1,0 1 -1,
trexx VIT,,1 1 +0,,,
