,bang 100T,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T
Less LOUD,1 1 +0,1 3 -2,0 2 -2,0 3 -3,0 5 -5
cauanzin LOUD,2 2 +0,0 5 -5,1 2 -1,0 1 -1,2 4 -2
pANcada LOUD,2 4 -2,1 3 -2,1 1 +0,3 1 +2,1 5 -4
saadhak LOUD,2 1 +1,2 3 -1,2 1 +1,4 3 +1,1 5 -4
tuyz LOUD,0 2 -2,0 2 -2,1 0 +1,0 4 -4,0 6 -6
