,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pANcada LOUD,,3 Round 3 Asuna Cryocells Round 13 Boostio Asuna Round 15 Boostio Asuna pANcada,,,,,1 Round 3 Cryocells eeiu,,,,46,0,1
saadhak LOUD,,3 Round 8 Boostio Asuna Round 12 Asuna Cryocells Round 17 bang eeiu,2 Round 16 Boostio Asuna Cryocells Round 19 bang Boostio eeiu,,,,1 Round 19 Boostio eeiu,,,,54,5,1
tuyz LOUD,,2 Round 6 Asuna bang Round 8 Cryocells bang,1 Round 10 Cryocells Asuna Boostio,,,1 Round 8 bang,,,,,49,0,0
cauanzin LOUD,,5 Round 4 Asuna Boostio Round 7 Asuna Boostio Round 11 Cryocells Asuna Round 13 bang eeiu Round 21 eeiu Cryocells,,,,,,,,,53,1,0
Less LOUD,,4 Round 3 Boostio bang Round 6 Cryocells eeiu Round 18 Cryocells eeiu Round 21 bang Asuna,1 Round 11 Boostio bang eeiu,,,,1 Round 11 eeiu bang,,,,81,1,0
Asuna 100T,,5 Round 2 saadhak pANcada Round 4 pANcada Less Round 15 tuyz saadhak Round 18 saadhak cauanzin Round 19 pANcada tuyz,2 Round 5 cauanzin saadhak pANcada Round 20 cauanzin tuyz saadhak,,,,,,,,65,0,0
Boostio 100T,,1 Round 8 pANcada cauanzin,,,,,,,,,25,4,0
eeiu 100T,,2 Round 16 tuyz Less Round 20 pANcada Less,1 Round 12 tuyz saadhak Less,,,,,,,,75,0,0
bang 100T,,,2 Round 1 Less saadhak pANcada Round 2 tuyz cauanzin Less,1 Round 9 pANcada saadhak tuyz Less,,,,,,,46,0,1
Cryocells 100T,,2 Round 3 tuyz Less Round 12 cauanzin pANcada,,,,,,,,,45,0,0
