,bang 100T,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T
Less LOUD,1 0 +1,0 1 -1,,1 0 +1,1 2 -1
cauanzin LOUD,,1 0 +1,,1 0 +1,
pANcada LOUD,,1 0 +1,1 0 +1,0 1 -1,1 0 +1
saadhak LOUD,,,,,0 1 -1
tuyz LOUD,3 0 +3,1 2 -1,1 1 +0,0 1 -1,0 1 -1
