,bang 100T,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T
Less LOUD,1 0 +1,,,1 0 +1,1 0 +1
cauanzin LOUD,1 0 +1,0 1 -1,0 1 -1,1 1 +0,
pANcada LOUD,0 1 -1,0 1 -1,,1 1 +0,
saadhak LOUD,0 1 -1,0 1 -1,,,1 0 +1
tuyz LOUD,1 1 +0,1 0 +1,0 1 -1,,1 1 +0
