,bang 100T,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T
Less LOUD,2 0 +2,0 3 -3,,2 0 +2,2 4 -2
cauanzin LOUD,2 0 +2,1 1 +0,0 1 -1,2 1 +1,0 1 -1
pANcada LOUD,0 1 -1,1 1 +0,1 0 +1,1 2 -1,1 0 +1
saadhak LOUD,1 1 +0,0 1 -1,,1 0 +1,1 2 -1
tuyz LOUD,4 2 +2,2 3 -1,1 2 -1,0 3 -3,1 3 -2
