,bang 100T,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T
Less LOUD,,0 2 -2,,,0 2 -2
cauanzin LOUD,1 0 +1,,,,0 1 -1
pANcada LOUD,,,,,
saadhak LOUD,1 0 +1,,,1 0 +1,0 1 -1
tuyz LOUD,0 1 -1,0 1 -1,,0 2 -2,0 1 -1
