,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,0 1 -1,0 1 -1,2 0 +2,,
kamo TL,0 2 -2,1 0 +1,1 1 +0,1 0 +1,0 1 -1
nAts TL,1 1 +0,,,1 0 +1,1 1 +0
keiko TL,1 2 -1,,,1 0 +1,1 0 +1
trexx TL,0 1 -1,0 1 -1,0 1 -1,,
