,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,0 1 -1,,,,
kamo TL,1 3 -2,1 0 +1,,1 0 +1,
nAts TL,0 2 -2,,,,
keiko TL,0 2 -2,,,,
trexx TL,,,,,
