,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,2 2 +0,2 1 +1,2 1 +1,,0 2 -2
kamo TL,3 5 -2,1 3 -2,1 3 -2,2 1 +1,2 1 +1
nAts TL,1 1 +0,0 1 -1,,1 1 +0,1 2 -1
keiko TL,2 3 -1,2 2 +0,2 1 +1,2 0 +2,2 1 +1
trexx TL,0 1 -1,0 2 -2,1 1 +0,,1 2 -1
