,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,1 Round 14 westside Flickless,1 Round 20 Flickless Cloud westside,,,,,,,,36,1,1
nAts TL,,,2 Round 3 Flickless ara westside Round 17 Cloud grubinho ara,,,,,,,,37,0,0
trexx TL,,2 Round 9 Cloud ara Round 19 grubinho Flickless,,,,,,,,,26,4,0
keiko TL,,4 Round 13 ara Flickless Round 14 Cloud grubinho Round 16 ara grubinho Round 21 westside grubinho,2 Round 18 ara Flickless Cloud Round 22 ara grubinho westside,1 Round 12 westside Cloud grubinho ara,,1 Round 12 ara,,,,,81,1,1
kamo TL,,3 Round 2 ara westside Round 13 grubinho westside Round 21 Cloud ara,,1 Round 1 westside Flickless ara Cloud,,,,,,,47,0,0
Cloud GX,,2 Round 6 keiko paTiTek Round 15 nAts trexx,,1 Round 3 keiko paTiTek trexx nAts,,1 Round 3 nAts,,,,,79,0,0
grubinho GX,,1 Round 24 nAts kamo,1 Round 8 paTiTek nAts kamo,,,,,,,,39,0,0
Flickless GX,,3 Round 4 kamo trexx Round 7 nAts paTiTek Round 15 paTiTek keiko,1 Round 23 kamo keiko paTiTek,,,,,,,,57,4,3
ara GX,,4 Round 5 kamo nAts Round 9 kamo nAts Round 12 paTiTek nAts Round 14 trexx nAts,1 Round 11 nAts kamo paTiTek,,,,,,,,50,0,0
westside GX,,4 Round 5 paTiTek trexx Round 6 nAts kamo Round 9 paTiTek trexx Round 22 trexx paTiTek,1 Round 18 nAts trexx keiko,1 Round 10 kamo nAts paTiTek trexx,,,1 Round 18 trexx keiko,,,,77,2,0
