,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,7 3 +4,3 3 +0,7 3 +4,4 4 +0,4 3 +1
kamo TL,4 2 +2,2 2 +0,3 8 -5,3 1 +2,3 3 +0
nAts TL,0 5 -5,3 2 +1,0 5 -5,3 3 +0,3 3 +0
keiko TL,2 3 -1,7 3 +4,4 4 +0,4 4 +0,3 5 -2
trexx TL,3 4 -1,3 0 +3,4 3 +1,5 3 +2,5 7 -2
