,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,2 1 +1,1 0 +1,0 1 -1,,0 1 -1
kamo TL,2 2 +0,0 1 -1,0 2 -2,1 0 +1,
nAts TL,,0 1 -1,,0 1 -1,
keiko TL,1 1 +0,1 1 +0,1 1 +0,,
trexx TL,,,1 0 +1,,1 2 -1
