,ara GX,grubinho GX,Flickless GX,Cloud GX,westside GX
paTiTek TL,,1 0 +1,,,0 1 -1
kamo TL,1 1 +0,0 2 -2,,0 1 -1,2 0 +2
nAts TL,,,,,0 1 -1
keiko TL,,1 1 +0,1 0 +1,1 0 +1,1 1 +0
trexx TL,,0 1 -1,,,
