,Melser KRÜ,heat KRÜ,Shyy KRÜ,mta KRÜ,keznit KRÜ
icy G2,,,2 0 +2,,0 4 -4
leaf G2,1 0 +1,2 2 +0,0 1 -1,1 0 +1,0 2 -2
valyn G2,1 2 -1,1 0 +1,,,
trent G2,0 1 -1,0 2 -2,1 0 +1,0 1 -1,0 1 -1
JonahP G2,,,0 1 -1,2 1 +1,1 0 +1
