,Melser KRÜ,heat KRÜ,Shyy KRÜ,mta KRÜ,keznit KRÜ
icy G2,1 3 -2,5 5 +0,7 3 +4,5 2 +3,5 11 -6
leaf G2,5 5 +0,5 4 +1,4 9 -5,5 2 +3,3 5 -2
valyn G2,4 8 -4,3 3 +0,4 5 -1,2 3 -1,3 3 +0
trent G2,5 2 +3,3 6 -3,5 4 +1,5 4 +1,4 5 -1
JonahP G2,6 5 +1,4 1 +3,4 6 -2,7 3 +4,6 5 +1
