,Melser KRÜ,heat KRÜ,Shyy KRÜ,mta KRÜ,keznit KRÜ
icy G2,6 11 -5,10 10 +0,10 6 +4,14 7 +7,9 18 -9
leaf G2,9 9 +0,10 10 +0,9 16 -7,5 5 +0,9 14 -5
valyn G2,8 13 -5,11 6 +5,10 10 +0,9 9 +0,9 12 -3
trent G2,9 11 -2,9 9 +0,7 10 -3,8 7 +1,7 10 -3
JonahP G2,11 11 +0,5 4 +1,10 12 -2,13 5 +8,11 12 -1
