,Melser KRÜ,heat KRÜ,Shyy KRÜ,mta KRÜ,keznit KRÜ
icy G2,2 1 +1,1 1 +0,2 1 +1,0 3 -3,1 7 -6
leaf G2,2 1 +1,2 2 +0,1 1 +0,1 0 +1,1 4 -3
valyn G2,2 2 +0,1 0 +1,1 0 +1,0 1 -1,1 2 -1
trent G2,0 1 -1,0 2 -2,1 0 +1,0 3 -3,0 1 -1
JonahP G2,2 1 +1,1 0 +1,1 1 +0,2 2 +0,3 0 +3
