,Melser KRÜ,heat KRÜ,Shyy KRÜ,mta KRÜ,keznit KRÜ
icy G2,2 5 -3,2 4 -2,2 1 +1,2 2 +0,2 4 -2
leaf G2,1 1 +0,3 4 -1,2 4 -2,0 2 -2,3 5 -2
valyn G2,1 1 +0,2 1 +1,2 3 -1,3 3 +0,3 7 -4
trent G2,1 5 -4,2 2 +0,1 2 -1,3 2 +1,0 4 -4
JonahP G2,3 5 -2,0 2 -2,3 2 +1,1 1 +0,1 4 -3
