,Lysoar WOL,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL
RieNs TH,4 1 +3,4 6 -2,3 3 +0,4 1 +3,2 5 -3
Boo TH,3 5 -2,1 2 -1,3 3 +0,4 1 +3,3 4 -1
Wo0t TH,1 3 -2,1 1 +0,3 6 -3,3 1 +2,3 4 -1
MiniBoo TH,2 2 +0,5 6 -1,3 4 -1,5 2 +3,4 3 +1
benjyfishy TH,5 3 +2,3 4 -1,2 4 -2,2 0 +2,3 4 -1
