,Lysoar WOL,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL
RieNs TH,1 0 +1,2 1 +1,1 2 -1,,1 2 -1
Boo TH,0 1 -1,0 1 -1,,1 0 +1,1 1 +0
Wo0t TH,1 0 +1,,4 3 +1,1 0 +1,0 5 -5
MiniBoo TH,1 0 +1,5 2 +3,,1 0 +1,1 1 +0
benjyfishy TH,0 1 -1,2 0 +2,0 1 -1,,1 0 +1
