,Lysoar WOL,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL
RieNs TH,3 2 +1,2 6 -4,3 2 +1,3 2 +1,3 3 +0
Boo TH,2 1 +1,2 4 -2,4 2 +2,3 2 +1,2 3 -1
Wo0t TH,3 5 -2,2 1 +1,5 1 +4,4 2 +2,3 8 -5
MiniBoo TH,5 0 +5,6 6 +0,1 2 -1,2 2 +0,3 6 -3
benjyfishy TH,1 2 -1,3 4 -1,3 4 -1,2 2 +0,3 4 -1
