,Lysoar WOL,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL
RieNs TH,7 3 +4,6 12 -6,6 5 +1,7 3 +4,5 8 -3
Boo TH,5 6 -1,3 6 -3,7 5 +2,7 3 +4,5 7 -2
Wo0t TH,4 8 -4,3 2 +1,8 7 +1,7 3 +4,6 12 -6
MiniBoo TH,7 2 +5,11 12 -1,4 6 -2,7 4 +3,7 9 -2
benjyfishy TH,6 5 +1,6 8 -2,5 8 -3,4 2 +2,6 8 -2
