,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,0 1 -1,,,0 1 -1,2 3 -1
Melser KRÜ,,,,,
keznit KRÜ,,,,,2 2 +0
Mazino KRÜ,1 0 +1,,,,1 0 +1
Dantedeu5 KRÜ,,0 2 -2,0 1 -1,1 0 +1,0 2 -2
