,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,5 0 +5,1 6 -5,3 2 +1,1 4 -3,2 2 +0
Melser KRÜ,4 3 +1,4 1 +3,1 6 -5,2 3 -1,4 3 +1
keznit KRÜ,5 4 +1,2 4 -2,7 0 +7,5 4 +1,3 3 +0
Mazino KRÜ,1 2 -1,1 3 -2,1 4 -3,1 5 -4,2 3 -1
Dantedeu5 KRÜ,0 5 -5,1 5 -4,3 0 +3,1 6 -5,4 2 +2
