,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,,,,,
Melser KRÜ,2 0 +2,1 0 +1,0 1 -1,,2 1 +1
keznit KRÜ,1 0 +1,,1 0 +1,,1 1 +0
Mazino KRÜ,,,0 1 -1,,0 2 -2
Dantedeu5 KRÜ,,0 1 -1,,1 1 +0,1 2 -1
