,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,,,,,
Melser KRÜ,,1 0 +1,0 2 -2,,1 0 +1
keznit KRÜ,3 3 +0,,0 1 -1,,1 0 +1
Mazino KRÜ,,,,0 1 -1,
Dantedeu5 KRÜ,0 1 -1,0 0,0 1 -1,1 1 +0,0 1 -1
