,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,0 1 -1,,,0 1 -1,2 3 -1
Melser KRÜ,2 0 +2,2 0 +2,0 3 -3,,3 1 +2
keznit KRÜ,4 3 +1,,1 1 +0,,4 3 +1
Mazino KRÜ,1 0 +1,,0 1 -1,0 1 -1,1 2 -1
Dantedeu5 KRÜ,0 1 -1,0 3 -3,0 2 -2,3 2 +1,1 5 -4
